#vnum	name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	p
0	ymir	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
1	 삼연참 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
2	 팔방풍우 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
3	 전귀혼 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
4	 검경 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
5	 탄환격 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
16	 기공참 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
17	 격산타우 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
18	 대진각 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
19	 천근추 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
20	 검풍 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
31	 암습 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
32	 궁신탄영 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
33	 차륜살 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
34	 은형법 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
35	 산공분 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
46	 연사 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
47	 관격술 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
48	 화조파 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
49	 경공술 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
50	 독기궁 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
61	 쇄령지 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
62	 용권파 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
63	 귀검 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
64	 공포 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
65	 주마갑 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
66	 파법술 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
76	 마령 	5	7	9	11	13	15	17	19	20	22	24	26	28	30	32	34	36	38	40	50	52	55	58	61	63	66	69	72	75	80	82	84	87	90	95	100	110	120	130	150
