30028	3.0
30069	3.0
30027	3.0
30070	3.0
30004	3.0
30003	3.0
30010	3.0
30071	3.0
30053	3.0
30072	3.0
30038	3.0
30023	3.0
30028	3.0
30069	3.0
30034	3.0
30031	3.0
30011	3.0
30073	3.0
30018	3.0
30017	3.0
30035	3.0
30032	3.0
30074	3.0
30021	3.0
30005	3.0
30030	3.0
30033	3.0
30041	3.0
30052	3.0
30092	3.0
30075	3.0
30007	3.0
30076	3.0
30077	3.0
30006	3.0
30079	3.0
30078	3.0
30051	3.0
30047	3.0
30080	3.0
30008	3.0
30009	3.0
30083	3.0
30039	3.0
30085	3.0
30015	3.0
30087	3.0
30016	3.0
30086	3.0
30193	3.0
30048	3.0
30049	3.0
30088	3.0
30014	3.0
30089	3.0
30090	3.0
30060	3.0
30061	3.0
30194	3.0
30195	3.0
30057	3.0
30056	3.0
30025	3.0
30058	3.0
30059	3.0
30046	3.0
30045	3.0
30055	3.0
30022	3.0
30067	3.0
30042	3.0
30019	3.0
30091	3.0
30192	3.0
30196	3.0
30197	3.0
30199	3.0
