25041	39001
70005	39002
70020	39003
70024	39004
70035	39005
70038	39006
70039	39007
71001	39008
71003	39009
71014	39010
71018	39011
71019	39012
71020	39013
71021	39014
71025	39015
71026	39016
71027	39017
71028	39018
71029	39019
71030	39020
71031	39021
71032	39022
71035	39023
71044	39024
71045	39025
71050	39026
71083	39027
71084	39028
71085	39029
71094	39030
71101	39031
71107	39032
71109	39033
71110	39034
71113	39035
72701	39036
72723	39037
72724	39038
72725	39039
72727	39040
72728	39041
72729	39042
22010	39043
30320	39044
25040	72301
70003	72302
70005	72303
70024	72304
70026	72305
70027	72306
70028	72307
70035	72308
70039	72309
71001	72310
71020	72311
71028	72312
71030	72313
71032	72314
30190	76010
71095 76019
71035 76020
30319 76002
