101	"??"	"PAWN"	"MONSTER"	"MELEE"	2			0	"ANIMAL"		0	"stray_dog"	0	3	6	5	2	20	24	126	6	7	630	945	66	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	"??"	"PAWN"	"MONSTER"	"MELEE"	3			0	"ANIMAL"		0	"wolf"	0	4	9	7	2	23	28	162	6	7	805	1190	172	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	"????"	"PAWN"	"MONSTER"	"MELEE"	4			0	"ANIMAL"		0	"wolf"	0	8	5	10	3	25	30	182	6	7	875	1330	225	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	"????"	"PAWN"	"MONSTER"	"MELEE"	6			0	"ANIMAL"		0	"wolf"	0	9	12	6	3	25	38	225	6	7	1050	1575	331	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	"?? ????"	"PAWN"	"MONSTER"	"MELEE"	9			0	"ANIMAL"		0	"wolf"	0	14	8	16	4	33	41	297	6	7	1295	1960	490	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	"????"	"PAWN"	"MONSTER"	"MELEE"	13			0	"ANIMAL"		0	"wolf"	0	21	21	10	5	40	49	412	6	7	1645	2450	702	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	"?? ????"	"S_PAWN"	"MONSTER"	"MELEE"	16			0	"ANIMAL"		0	"wolf"	0	23	24	12	6	45	55	614	6	12	2800	4200	1034	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	None	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	"???"	"PAWN"	"MONSTER"	"MELEE"	7			0	"ANIMAL"		0	"wild_boar"	0	14	7	10	3	30	37	248	6	7	1120	1715	384	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	"?? ???"	"S_PAWN"	"MONSTER"	"MELEE"	10			0	"ANIMAL"		0	"wild_boar"	0	22	9	13	4	35	43	389	3	7	1960	2940	654	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	None	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	"?"	"PAWN"	"MONSTER"	"SPECIAL"	12			0	"ANIMAL"		0	"bear"	0	20	10	20	5	39	47	381	6	7	1540	2345	649	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	None	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
