1	76	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
2	78	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
3	77	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
4	79	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
5	93	1	1	2	2	3	3	4	5	5	6	6	7	7	8	8	9	9	10	11	12
6	64	1	2	2	3	3	4	4	5	5	6	6	7	7	8	8	9	9	10	10	10
7	97	1	1	2	3	3	4	4	5	5	6	7	7	8	8	9	10	10	11	11	12
8	9	8	8	9	9	10	10	11	11	12	12	13	14	14	15	15	16	16	17	17	17
9	16	1	1	2	2	2	3	3	4	4	5	5	6	6	7	7	7	8	8	9	9
10	4	17	68	153	272	425	612	833	1088	1377	1700	2057	2448	2873	3332	3825	4352	4913	5508	6137	6800
11	23	1	1	1	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5
12	24	1	1	1	1	2	2	2	3	3	3	4	4	4	5	5	6	6	6	6	6
13	27	1	1	2	2	3	4	4	5	5	6	6	7	7	8	8	9	10	10	11	11
14	28	1	2	2	2	2	3	3	3	4	4	4	5	5	5	5	6	6	6	7	7
15	44	5	10	15	20	25	31	36	41	46	51	56	61	67	72	77	82	87	92	97	103
16	52	1	2	2	2	2	3	3	3	3	4	4	4	4	5	5	5	6	6	6	6
17	11	2	4	6	7	8	9	11	12	13	15	16	17	18	20	21	22	23	25	26	27
18	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1 
19	109	1	2	2	2	3	3	3	4	4	4	5	5	6	6	7	7	8	8	9	10
20	63	1	2	2	2	3	3	3	4	4	4	5	5	6	6	7	7	8	8	9	10
