6420	2.5	2.5	2.5
20419	1.5	1.5	1.5
20421	1.5	1.5	1.5
8024	1.3	1.3	1.3
8025	1.3	1.3	1.3
8026	1.3	1.3	1.3
8027	1.3	1.3	1.3
8031	1.3	1.3	1.3
8032	1.3	1.3	1.3
8033	1.3	1.3	1.3
8034	1.3	1.3	1.3
8035	1.3	1.3	1.3
8036	1.3	1.3	1.3
8037	1.3	1.3	1.3
8038	1.3	1.3	1.3
8039	1.3	1.3	1.3
8040	1.3	1.3	1.3
8051	1.3	1.3	1.3
8052	1.3	1.3	1.3
8053	1.3	1.3	1.3
8054	1.3	1.3	1.3
8055	1.3	1.3	1.3
8056	1.3	1.3	1.3
8057	1.3	1.3	1.3
8058	1.3	1.3	1.3
8059	1.3	1.3	1.3
8060	1.3	1.3	1.3
8061	1.3	1.3	1.3
4201	0.5	0.5	0.5
191	1.5	1.5	1.5
192	1.5	1.5	1.5
193	1.5	1.5	1.5
194	1.5	1.5	1.5
491	1.5	1.5	1.5
492	1.5	1.5	1.5
493	1.5	1.5	1.5
494	1.5	1.5	1.5
531	1.5	1.5	1.5
532	1.5	1.5	1.5
533	1.5	1.5	1.5
534	1.5	1.5	1.5
591	1.5	1.5	1.5
691	1.5	1.5	1.5
791	1.5	1.5	1.5
792	1.5	1.5	1.5
1091	1.5	1.5	1.5
1092	1.5	1.5	1.5
1093	1.5	1.5	1.5
1192	1.5	1.5	1.5
1304	1.5	1.5	1.5
1901	1.5	1.5	1.5
2091	1.5	1.5	1.5
2206	1.5	1.5	1.5
2306	1.5	1.5	1.5
2307	1.5	1.5	1.5
2491	1.5	1.5	1.5
2493	1.5	1.5	1.5
2494	1.5	1.5	1.5
2495	1.5	1.5	1.5
2597	1.5	1.5	1.5
2598	1.5	1.5	1.5
3190	1.5	1.5	1.5
3191	1.5	1.5	1.5
3290	1.5	1.5	1.5
3291	1.5	1.5	1.5
3390	1.5	1.5	1.5
3391	1.5	1.5	1.5
3490	1.5	1.5	1.5
3491	1.5	1.5	1.5
3590	1.5	1.5	1.5
3591	1.5	1.5	1.5
3690	1.5	1.5	1.5
3691	1.5	1.5	1.5
3790	1.5	1.5	1.5
3791	1.5	1.5	1.5
3890	1.5	1.5	1.5
3891	1.5	1.5	1.5
6390	1.5	1.5	1.5
6391	1.5	1.5	1.5
2191	1.5	1.5	1.5
6421	1.5	1.5	1.5
4204	1.5	1.5	1.5
4209	1.5	1.5	1.5
4210	1.5	1.5	1.5
3596	1.5	1.5	1.5
1095	1.5	1.5	1.5
1191	1.5	1.5	1.5
