r	772 296	10	10	0	0	0s	100	1	7001
r	764 269	10	10	0	0	0s	100	1	7001
r	756 293	10	10	0	0	0s	100	1	7001
r	736 279	10	10	0	0	0s	100	1	7002
r	733 273	10	10	0	0	0s	100	1	7002
r	732 267	10	10	0	0	0s	100	1	7002
r	729 246	10	10	0	0	0s	100	1	7003
r	730 241	10	10	0	0	0s	100	1	7003
r	732 233	10	10	0	0	0s	100	1	7003
r	740 222	10	10	0	0	0s	100	1	7004
r	752 220	10	10	0	0	0s	100	1	7004
r	752 219	10	10	0	0	0s	100	1	7004
r	774 216	10	10	0	0	0s	100	1	7005
r	776 217	10	10	0	0	0s	100	1	7005
r	780 219	10	10	0	0	0s	100	1	7005
r	794 226	10	10	0	0	0s	100	1	7006
r	798 230	10	10	0	0	0s	100	1	7006
r	800 232	10	10	0	0	0s	100	1	7006
