r	210	70	10	10	0	0	80s	100	1	1104
r	193	80	10	10	0	0	80s	100	1	1101
r	198	97	10	10	0	0	80s	100	1	1104
r	180	115	10	10	0	0	80s	100	1	1103
r	311	136	10	10	0	0	80s	100	1	1103
r	69	152	10	10	0	0	80s	100	1	1102
r	162	152	10	10	0	0	80s	100	1	1103
r	105	154	10	10	0	0	80s	100	1	1102
r	94	155	10	10	0	0	80s	100	1	1101
r	157	156	10	10	0	0	80s	100	1	1101
r	109	169	10	10	0	0	80s	100	1	1103
r	168	172	10	10	0	0	80s	100	1	1103
r	171	184	10	10	0	0	80s	100	1	1104
r	123	197	10	10	0	0	80s	100	1	1102
r	289	198	10	10	0	0	80s	100	1	1101
r	426	198	10	10	0	0	80s	100	1	1101
r	288	210	10	10	0	0	80s	100	1	1101
r	325	210	10	10	0	0	80s	100	1	1103
r	154	212	10	10	0	0	80s	100	1	1102
r	173	219	10	10	0	0	80s	100	1	1102
r	329	220	10	10	0	0	80s	100	1	1104
r	314	221	10	10	0	0	80s	100	1	1102
r	241	230	10	10	0	0	80s	100	1	1101
r	137	233	10	10	0	0	80s	100	1	1101
r	289	236	10	10	0	0	80s	100	1	1101
r	322	258	10	10	0	0	80s	100	1	1102
r	334	266	10	10	0	0	80s	100	1	1102
r	340	268	10	10	0	0	80s	100	1	1104
r	237	269	10	10	0	0	80s	100	1	1102
r	134	278	10	10	0	0	80s	100	1	1101
r	125	281	10	10	0	0	80s	100	1	1102
r	243	286	10	10	0	0	80s	100	1	1104
r	452	291	10	10	0	0	80s	100	1	1101
r	250	298	10	10	0	0	80s	100	1	1103
r	172	305	10	10	0	0	80s	100	1	1101
r	439	308	10	10	0	0	80s	100	1	1104
r	84	327	10	10	0	0	80s	100	1	1104
r	112	332	10	10	0	0	80s	100	1	1102
r	70	338	10	10	0	0	80s	100	1	1102
r	443	340	10	10	0	0	80s	100	1	1104
r	179	347	10	10	0	0	80s	100	1	1104
r	140	350	10	10	0	0	80s	100	1	1103
r	195	353	10	10	0	0	80s	100	1	1102
r	76	354	10	10	0	0	80s	100	1	1104
r	236	354	10	10	0	0	80s	100	1	1103
r	135	356	10	10	0	0	80s	100	1	1101
r	123	365	10	10	0	0	80s	100	1	1101
r	372	372	10	10	0	0	80s	100	1	1102
r	200	373	10	10	0	0	80s	100	1	1101
r	137	377	10	10	0	0	80s	100	1	1104
r	213	381	10	10	0	0	80s	100	1	1102
r	142	382	10	10	0	0	80s	100	1	1103
r	203	382	10	10	0	0	80s	100	1	1101
r	377	382	10	10	0	0	80s	100	1	1101
r	91	383	10	10	0	0	80s	100	1	1101
r	375	384	10	10	0	0	80s	100	1	1104
r	388	384	10	10	0	0	80s	100	1	1102
r	110	388	10	10	0	0	80s	100	1	1102
r	221	388	10	10	0	0	80s	100	1	1103
r	374	396	10	10	0	0	80s	100	1	1101
r	406	401	10	10	0	0	80s	100	1	1103
r	136	405	10	10	0	0	80s	100	1	1103
r	425	405	10	10	0	0	80s	100	1	1101
r	395	412	10	10	0	0	80s	100	1	1103
r	247	419	10	10	0	0	80s	100	1	1103
r	187	421	10	10	0	0	80s	100	1	1101
r	100	424	10	10	0	0	80s	100	1	1104
r	137	425	10	10	0	0	80s	100	1	1104
r	225	430	10	10	0	0	80s	100	1	1103
r	127	431	10	10	0	0	80s	100	1	1103
r	163	432	10	10	0	0	80s	100	1	1101
r	191	433	10	10	0	0	80s	100	1	1104
r	233	442	10	10	0	0	80s	100	1	1102
r	236	443	10	10	0	0	80s	100	1	1101
r	209	448	10	10	0	0	80s	100	1	1102
r	117	453	10	10	0	0	80s	100	1	1102
r	365	453	10	10	0	0	80s	100	1	1104
